Algorithm,City One,City Two,Average Time,Path Length
uniform_cost_search,Zerind,Pitesti,1.7780000234779436e-05,5 
iterative_deepening,Zerind,Pitesti,3.467999995336868e-05,5 
greedy_search,Zerind,Pitesti,3.0500000138999895e-05,5 
a_star_search,Zerind,Pitesti,5.253000035736477e-05,5 
breadth_first_search,Mehadia,Hirsova,2.6190000062342735e-05,7 
depth_first_search,Mehadia,Hirsova,7.179999920481351e-06,7 
uniform_cost_search,Mehadia,Hirsova,2.77299999652314e-05,7 
iterative_deepening,Mehadia,Hirsova,6.545999985974049e-05,7 
greedy_search,Mehadia,Hirsova,4.640999959519832e-05,7 
a_star_search,Mehadia,Hirsova,9.639000018069055e-05,7 
breadth_first_search,Mehadia,Iasi,2.9889999495935626e-05,8 
depth_first_search,Mehadia,Iasi,6.160000339150429e-06,8 
uniform_cost_search,Mehadia,Iasi,2.8389999351929872e-05,8 
iterative_deepening,Mehadia,Iasi,0.00012678000002779298,8 
greedy_search,Mehadia,Iasi,1.1869999980262946e-05,0 
a_star_search,Mehadia,Iasi,0.0001489399994170526,8 
breadth_first_search,Mehadia,Urziceni,2.2709999939252157e-05,6 
depth_first_search,Mehadia,Urziceni,6.519999806187115e-06,6 
uniform_cost_search,Mehadia,Urziceni,2.185000030294759e-05,6 
iterative_deepening,Mehadia,Urziceni,4.2660000144678636e-05,6 
greedy_search,Mehadia,Urziceni,4.096000011486467e-05,6 
a_star_search,Mehadia,Urziceni,6.65999998091138e-05,6 
breadth_first_search,Mehadia,Pitesti,9.900000077323056e-06,4 
depth_first_search,Mehadia,Pitesti,2.9599999834317713e-06,4 
uniform_cost_search,Mehadia,Pitesti,9.209999916492961e-06,4 
iterative_deepening,Mehadia,Pitesti,1.1249999806750565e-05,4 
greedy_search,Mehadia,Pitesti,1.7860000298242085e-05,4 
a_star_search,Mehadia,Pitesti,4.39199999163975e-05,4 
breadth_first_search,Hirsova,Iasi,1.069999980245484e-05,4 
depth_first_search,Hirsova,Iasi,5.949999831500463e-06,4 
uniform_cost_search,Hirsova,Iasi,2.1079999714856968e-05,4 
iterative_deepening,Hirsova,Iasi,1.3209999815444462e-05,4 
greedy_search,Hirsova,Iasi,1.8020000061369502e-05,4 
a_star_search,Hirsova,Iasi,4.977000025974121e-05,4 
breadth_first_search,Hirsova,Urziceni,2.9200000426499173e-06,2 
depth_first_search,Hirsova,Urziceni,2.2000000171829016e-06,2 
uniform_cost_search,Hirsova,Urziceni,2.949999543488957e-06,2 
iterative_deepening,Hirsova,Urziceni,3.179999839630909e-06,2 
greedy_search,Hirsova,Urziceni,1.418999963789247e-05,2 
a_star_search,Hirsova,Urziceni,2.3119999787013513e-05,2 
breadth_first_search,Hirsova,Pitesti,1.0040000233857427e-05,4 
depth_first_search,Hirsova,Pitesti,1.264000020455569e-05,4 
uniform_cost_search,Hirsova,Pitesti,8.780000098340678e-06,4 
iterative_deepening,Hirsova,Pitesti,1.3010000111535192e-05,4 
greedy_search,Hirsova,Pitesti,2.3869999859016387e-05,4 
a_star_search,Hirsova,Pitesti,4.379000001790701e-05,4 
breadth_first_search,Iasi,Urziceni,4.25000016548438e-06,3 
depth_first_search,Iasi,Urziceni,2.989999848068692e-06,3 
uniform_cost_search,Iasi,Urziceni,3.980000110459514e-06,3 
iterative_deepening,Iasi,Urziceni,1.139999985753093e-05,3 
greedy_search,Iasi,Urziceni,1.131999961216934e-05,3 
a_star_search,Iasi,Urziceni,2.4499999926774763e-05,3 
breadth_first_search,Iasi,Pitesti,1.2100000094505959e-05,5 
depth_first_search,Iasi,Pitesti,7.159999950090423e-06,5 
uniform_cost_search,Iasi,Pitesti,1.0660000043571927e-05,5 
iterative_deepening,Iasi,Pitesti,2.2920000265003183e-05,5 
greedy_search,Iasi,Pitesti,1.004999994620448e-05,0 
a_star_search,Iasi,Pitesti,6.448999993153847e-05,5 
breadth_first_search,Urziceni,Pitesti,8.359999992535449e-06,3 
depth_first_search,Urziceni,Pitesti,6.359999679261818e-06,3 
uniform_cost_search,Urziceni,Pitesti,8.919999891077168e-06,3 
iterative_deepening,Urziceni,Pitesti,8.249999882536941e-06,3 
greedy_search,Urziceni,Pitesti,2.0419999782461672e-05,3 
a_star_search,Urziceni,Pitesti,3.5000000207219276e-05,3 
