Algorithm            ,City One              ,City Two        ,Average Time           ,Path Length
depth_first_search   ,Lugoj                 ,Vaslui          ,7.5700001616496594e-06 ,          8
uniform_cost_search  ,Lugoj                 ,Vaslui          ,2.9049999284325168e-05 ,          8
iterative_deepening  ,Lugoj                 ,Vaslui          ,0.00011636000053840689 ,          8
greedy_search        ,Lugoj                 ,Vaslui          ,9.43900002312148e-05   ,          0
a_star_search        ,Lugoj                 ,Vaslui          ,0.00028229999988980123 ,          8

Algorithm            ,time                  ,solution length
breadth_first_search ,0.0010205700029473517 ,208
depth_first_search   ,0.0005257700046058745 ,344
uniform_cost_search  ,0.0011383199933334255 ,220
iterative_deepening  ,0.002163069998277933  ,208
greedy_search        ,0.0017486900003859775 ,175
a_star_search        ,0.004369709998718462  ,220
